m/q		P [*10^-7]		Ionen
RG				
12,5 &	0,163639 & - \\
14,5 &	0,262309 & N2\\
16,4 &	2,202845 & O2\\
17,3 &	15,086950 & H2O\\
18,3 &	59,327577 & H2O Peak\\
20,3 &	0,487201 & Ar\\
26,3 &	0,730516 & Ethanol\\
27,3 &	1,192530 & Ethanol\\
28,2 &	8,327688 & N2 Peak\\
31,3 &	0,588473 & Ethanol Peak\\
32,2 &	0,145396 & O2 Peak\\
42,2 &	0,484877 & CO2 Peak\\
		
				
Argon		P [*10^-7]		
2,6 & 0,028770	&\\	
14,0 & 0,179110	&\\	
14,8 & 0,205345	&\\	
16,4 & 0,497124	&\\	
17,3 & 4,383232	&\\	
18,3 & 17,713599 & H2O Peak\\
20,3 & 0,422165	& Ar\\
25,7 & 0,202784	&\\
26,8 & 0,166345	&\\
28,3 & 2,112772	& N2 Peak\\
40,2 & 11,506406 & Ar Peak\\
42,2 & 0,159481	&\\
43,3 & 0,057968	&\\
44,2 & 0,187108	&\\
58,3 & 0,177791	&\\
		
				
Aceton		P [*10^-7]		
2,9 &	0,770285 &\\
13,0 &	0,275742 &\\
14,4 &	0,967590 & Aceton\\
16,4 &	2,248385 &\\
17,3 &	5,840234 & H2O\\
18,3 &	23,093075 & H2O Peak\\
21,7 &	0,353306 & Ar\\
26,3 &	0,800569 & Aceton\\
27,3 &	0,903007 & Aceton\\
28,3 &	11,220457 & Aceton, N2 Peak\\
29,9 &	0,076586 & Aceton\\
30,8 &	0,277050 &\\
31,7 &	0,218649 &\\
39,3 &	0,227259 & Aceton\\
39,8 &	0,180049 & Ar Peak\\
41,3 &	0,222971 & Aceton\\
42,3 &	0,408912 & Aceton\\
43,3 &	6,569786 & Aceton Peak\\
44,1 &	0,950410 &\\
45,0 &	0,243585 &\\
45,9 &	0,349203 &\\
58,3 &	0,802889 &\\
		
				
Ethanol		P [*10^-6]		
2,6 &	0,171262 &\\
14,4 &	0,640535 & Ethanol\\
15,4 &	3,044103 & Ethanol\\
16,4 &	1,898885 &\\
17,4 &	5,557794 & H2O\\
18,4 &	22,105934 & H2O Peak\\
20,0 &	0,244485 &\\
24,7 &	0,382610 & Ethanol\\
26,3 &	0,573160 & Ethanol\\
27,3 &	0,660903 & Ethanol\\
28,3 &	9,094377 & Ethanol\\
30,1 &	0,164066 & Ethanol\\
30,7 &	0,334318 & Ethanol\\
31,7 &	0,315447 & Ethanol Peak\\
39,8 &	0,249690 &\\
41,3 &	0,128704 &\\
42,3 &	0,308533 & Ethanol\\
43,3 &	5,895615 & Ethanol\\
44,1 &	0,843881 & Ethanol\\
45,8 &	0,385697 & Ethanol\\
		
				
Luft 		P [*10^-7]		
2,6 &	0,201032 &\\
14,4 &	1,407469 & N2\\
15,0 &	0,075639 &\\
16,4 &	1,620600 & O2\\
17,3 &	5,312259 & H2O\\
18,3 &	17,711166 & H2O Peak\\
19,8 &	0,196587 &\\
25,5 &	0,286835 &\\
27,4 &	0,481777 &\\
28,2 &	26,523641 & N2 Peak\\
30,2 &	0,392146 & N2\\
30,8 &	0,151031 &\\
40,2 &	0,131854 & O2 Peak\\
40,8 &	0,227699 &\\
42,0 &	0,234818 &\\
42,6 &	0,276671 &\\
44,2 &	0,480254 &\\
58,0 &	0,288523 &\\
