RG	8,9*10^-6 mbar
12,500000 	0,011760 	-
14,500000 	0,018851 	N2
16,400000 	0,158309 	O2
17,300000 	1,084234	H2O	
18,300000 	4,263617 	H2O Peak
20,300000 	0,035013 	Ar
26,300000 	0,052499	Ethanol
27,300000 	0,085702	Ethanol
28,200000 	0,598475	N2 Peak
31,300000 	0,042291	Ethanol Peak
32,200000 	0,010449 	O2 Peak
42,200000 	0,034846 	CO2 Peak

Argon	4,0*10^-6 mbar
2,600000 	0,005583 
14,000000 	0,034757
14,800000 	0,039848
16,400000 	0,096469
17,300000 	0,850584 
18,300000 	3,437396	H2O Peak
20,300000 	0,470031	Ar
25,700000 	0,039351 
26,800000 	0,032280
28,300000 	0,409992	N2 Peak
40,200000 	2,232865 	Ar Peak
42,200000 	0,030948 
43,300000 	0,011249 
44,200000 	0,036309
58,300000 	0,034501 

Aceton	5,7*10^-6 mbar
2,900000 	0,111913 	
13,000000 	0,040062
14,400000 	0,140579	Aceton
16,400000 	0,326663
17,300000 	0,848515	H2O
18,300000 	3,355143	H2O Peak
21,700000 	0,051331 	Ar
26,300000 	0,116313 	Aceton
27,300000 	0,131196 	Aceton
28,300000 	1,630196 	Aceton, N2 Peak
29,900000 	0,011127	Aceton
30,800000 	0,040252
31,700000 	0,031767
39,300000 	0,033018	Aceton
39,800000 	0,026159	Ar Peak
41,300000 	0,032395 	Aceton
42,300000 	0,059410	Aceton
43,300000 	0,954510	Aceton Peak
44,100000 	0,138083
45,000000 	0,035390 
45,900000 	0,050735
58,300000 	0,116650

Ethanol	5,3*10^-5 mbar
2,600000 	0,024250
14,400000 	0,090697	Ethanol
15,400000 	0,431032	Ethanol
16,400000 	0,268874
17,400000 	0,786960	H2O
18,400000 	3,130106 	H2O Peak
20,000000 	0,034618 
24,700000 	0,054176	Ethanol
26,300000 	0,081157 	Ethanol
27,300000 	0,093581	Ethanol
28,300000 	1,287725	Ethanol
30,100000 	0,023231	Ethanol
30,700000 	0,047338	Ethanol
31,700000 	0,044666	Ethanol Peak
39,800000 	0,035355	
41,300000 	0,018224 
42,300000 	0,043687 	Ethanol
43,300000 	0,834794	Ethanol
44,100000 	0,119490	Ethanol
45,800000 	0,054613 	Ethanol

Luft 	5,6*10^-6 mbar
2,600000 	0,004885 
14,400000 	0,034201	N2
15,000000 	0,001838
16,400000 	0,039380	O2
17,300000 	0,129086	H2O
18,300000 	0,430375	H2O Peak
19,800000 	0,004777	
25,500000 	0,006970
27,400000 	0,011707
28,200000 	0,644515	N2 Peak
30,200000 	0,009529	N2
30,800000 	0,003670
40,200000 	0,003204	O2 Peak
40,800000 	0,005533
42,000000 	0,005706
42,600000 	0,006723
44,200000 	0,011670
58,000000 	0,007011























